source_row_id,partner_id,campaign_id,click_date,clicks,conversions,revenue,commission_paid,device_type,region
107,PTR007,6,2026-02-08,541,71,1852.76,370.55,Tablet,CA
108,PTR017,4,2025-10-14,2122,134,14988.24,2997.65,Tablet,UK
109,PTR014,2,2026-02-24,307,7,773.47,116.02,Mobile,CA
110,PTR020,1,2025-01-22,3227,493,28134.10,4220.11,Mobile,AU
111,PTR003,5,2025-08-20,1579,155,20349.17,2034.92,Desktop,US
112,PTR013,6,2025-01-27,3957,38,5100.72,612.09,Mobile,CA
113,PTR013,3,2025-04-02,3306,203,8751.64,700.13,Mobile,CA
114,PTR017,6,2026-05-21,3490,182,15067.82,3013.56,Tablet,Unknown
115,PTR006,2,2025-01-09,1038,143,22940.13,2294.01,Desktop,DE
116,PTR001,3,2025-12-09,1017,30,784.76,78.48,Mobile,AU
117,PTR014,1,2026-01-19,1842,177,27427.87,5485.57,Tablet,CA
118,PTR002,2,2026-03-31,2490,294,25404.09,3048.49,Tablet,UK
119,PTR010,3,2025-09-01,504,36,3913.50,195.68,Tablet,Unknown
120,PTR017,3,2025-10-30,1651,197,32094.84,3209.48,Desktop,US
121,PTR009,6,2026-05-05,3372,232,36127.61,2890.21,Mobile,US
122,PTR002,2,2025-09-24,2896,91,10597.56,1271.71,Desktop,US
123,PTR005,2,2026-02-21,348,29,1281.37,192.21,Tablet,AU
125,PTR002,6,2026-02-16,2563,69,2375.01,237.50,Desktop,US
126,PTR005,4,2025-07-02,2227,62,5406.94,648.83,Tablet,DE
127,PTR009,2,2025-02-03,1522,66,5897.14,1179.43,Mobile,US
128,PTR016,2,2025-01-21,2402,135,12866.22,14544.08,Desktop,DE
129,PTR015,5,2025-10-13,2995,237,24652.97,1972.24,Tablet,CA
130,PTR010,6,2026-03-07,1527,87,9697.02,1939.40,Desktop,UK
131,PTR017,6,2026-05-21,3490,182,15067.82,3013.56,Tablet,Unknown
132,PTR004,1,2025-05-21,3955,402,83086.00,9970.32,Desktop,AU
133,PTR016,6,2026-06-05,1582,51,6547.88,327.39,Unknown,DE
134,PTR019,2,2026-02-08,1308,66,3847.75,307.82,Tablet,AU
135,PTR014,2,2025-05-18,2984,88,2242.88,336.43,Mobile,US
136,PTR005,6,2026-01-18,2272,31,4104.63,492.56,Desktop,UK
137,PTR012,3,2025-05-12,2689,63,3444.03,413.28,Tablet,US
138,PTR017,3,2025-02-13,1842,214,26176.67,2094.13,Mobile,US
139,PTR020,5,2026-06-21,1781,179,35761.28,3576.13,Desktop,CA
140,PTR009,3,2025-07-02,289,35,1805.32,216.64,Mobile,DE
141,PTR003,5,2025-03-09,473,4,437.95,52.55,Desktop,DE
142,PTR020,2,2026-06-07,2865,43,2754.05,137.70,Desktop,UK
143,PTR016,3,2026-03-21,2345,130,24927.91,3739.19,Desktop,US
144,PTR011,4,2026-01-22,3422,330,39097.28,4691.67,Mobile,US
145,PTR001,6,2025-07-12,862,16,3002.05,450.31,Unknown,US
146,PTR009,2,2025-08-30,1775,72,11980.88,1437.71,Desktop,CA
147,PTR019,6,2025-03-08,1410,154,14358.71,2871.74,Mobile,DE
148,PTR005,3,2026-02-07,567,43,6043.73,1208.75,Mobile,DE
149,PTR017,5,2025-04-22,2068,197,39654.94,7930.99,Tablet,US
150,PTR017,5,2025-07-26,2886,83,16734.72,3346.94,Mobile,Unknown
151,PTR020,6,2025-03-31,1917,51,8559.77,427.99,Tablet,US
152,PTR019,2,2026-02-13,903,22,3738.58,186.93,Tablet,CA
153,PTR007,2,2025-10-31,1483,17,1210.97,60.55,Unknown,CA
154,PTR012,1,2025-08-30,2740,108,12745.80,2549.16,Tablet,UK
155,PTR009,5,2025-05-03,650,34,4715.02,377.20,Mobile,US
157,PTR005,5,2025-07-27,1270,194,20013.66,1601.09,Desktop,CA
158,PTR001,2,2025-07-05,2324,50,10711.06,535.55,Desktop,AU
159,PTR002,1,2026-04-05,2349,208,37461.73,5619.26,Desktop,AU
160,PTR018,1,2025-09-14,455,3,530.84,42.47,Mobile,US
161,PTR005,2,2026-05-11,1366,91,7367.76,589.42,Tablet,AU
162,PTR015,2,2025-06-13,2324,281,46607.66,5592.92,Mobile,US
163,PTR020,1,2025-10-10,1632,116,13213.08,1321.31,Desktop,US
164,PTR018,2,2025-06-30,3496,401,10563.18,528.16,Mobile,US
165,PTR013,1,2025-02-07,3765,91,10130.86,1215.70,Desktop,US
166,PTR019,1,2025-04-19,3059,264,37851.55,5677.73,Mobile,US
167,PTR020,5,2025-08-14,1468,26,3499.69,279.98,Mobile,US
168,PTR010,4,2025-01-09,3083,115,19449.68,3889.94,Tablet,CA
169,PTR006,3,2025-01-01,3828,115,17755.95,1775.60,Tablet,AU
170,PTR011,6,2026-02-25,648,14,2342.82,281.14,Mobile,AU
171,PTR003,2,2025-09-06,2655,50,10710.59,535.53,Desktop,AU
172,PTR017,1,2025-11-21,2514,251,50427.21,6051.27,Desktop,US
173,PTR007,1,2026-04-12,138,13,2731.60,409.74,Mobile,UK
174,PTR001,4,2026-05-14,3730,0,0.00,0.00,Mobile,AU
175,PTR015,4,2025-11-26,2305,67,3991.86,598.78,Tablet,UK
176,PTR018,4,2025-02-16,3650,87,4258.74,212.94,Tablet,US
177,PTR014,5,2025-09-16,7418,0,0.00,0.00,Tablet,UK
178,PTR016,6,2026-04-20,114,2,292.63,58.53,Desktop,US
179,PTR006,4,2025-09-20,2467,58,1199.40,119.94,Desktop,DE
180,PTR009,3,2026-04-02,3677,150,3413.45,409.61,Desktop,Unknown
181,PTR002,5,2026-03-10,4071,0,0.00,0.00,Tablet,DE
182,PTR020,4,2025-05-20,1318,111,5707.14,684.86,Tablet,US
183,PTR011,1,2025-07-13,1953,253,20969.86,3145.48,Tablet,US
184,PTR010,4,2025-02-18,1451,186,8920.92,1338.14,Tablet,CA
185,PTR001,3,2025-05-02,1909,59,10555.73,1266.69,Desktop,US
186,PTR002,4,2026-05-15,32,0,0.00,0.00,Tablet,US
187,PTR002,1,2025-08-23,3239,205,41227.77,8245.55,Mobile,DE
188,PTR009,3,2025-06-20,524,68,2665.71,133.29,Desktop,DE
190,PTR010,5,2025-01-07,913,51,10627.70,1062.77,Mobile,CA
191,PTR005,6,2025-03-21,3463,237,39442.02,5916.30,Tablet,US
192,PTR014,4,2025-02-09,1581,55,11616.27,2323.25,Tablet,US
193,PTR013,2,2025-12-01,1859,23,4022.40,603.36,Mobile,UK
194,PTR008,6,2025-01-03,1459,134,16348.93,3269.79,Desktop,CA
195,PTR010,2,2026-06-18,3105,54,6787.05,678.71,Tablet,US
196,PTR003,1,2026-04-07,3078,208,4343.77,434.38,Desktop,AU
197,PTR006,2,2025-09-16,2077,30,4605.08,552.61,Mobile,Unknown
199,PTR015,3,2026-05-16,343,24,520.86,41.67,Desktop,CA
200,PTR006,5,2026-04-27,578,40,3974.48,397.45,Desktop,US
201,PTR014,3,2026-04-11,2918,324,51975.21,6237.03,Mobile,US
202,PTR009,4,2026-04-13,820,51,4752.16,475.22,Unknown,US
203,PTR010,3,2025-10-05,410,17,1612.63,161.26,Unknown,DE
204,PTR012,5,2026-02-06,3656,262,28889.10,4333.36,Tablet,US
205,PTR012,2,2025-09-18,352,6,522.44,78.37,Desktop,US
206,PTR014,2,2026-05-10,3204,101,16639.89,1331.19,Tablet,US
207,PTR005,2,2026-02-03,1482,12,1065.40,106.54,Mobile,UK
208,PTR013,4,2025-04-14,1241,179,18715.89,3743.18,Mobile,US
209,PTR001,1,2025-05-08,1812,200,43823.46,3505.88,Mobile,US
210,PTR017,1,2026-01-19,2656,129,14674.57,1467.46,Desktop,US
211,PTR004,5,2025-08-12,2870,160,34010.50,6802.10,Desktop,CA
213,PTR008,2,2025-04-17,3016,63,5317.34,1063.47,Tablet,US
214,PTR009,5,2025-04-18,1405,88,11188.71,559.44,Tablet,US
215,PTR018,2,2026-05-16,3760,651,79688.00,3984.40,Mobile,US
216,PTR016,3,2025-01-07,3928,277,32112.55,4816.88,Mobile,US
217,PTR003,2,2025-06-26,1019,124,17361.25,1736.12,Desktop,US
218,PTR002,4,2025-12-31,635,38,2382.54,357.38,Desktop,US
219,PTR003,5,2026-06-12,2597,76,4799.25,479.93,Mobile,AU
220,PTR020,6,2025-11-07,910,50,3627.75,725.55,Mobile,AU
221,PTR009,2,2025-05-10,3971,310,54515.47,10903.09,Tablet,CA
222,PTR005,6,2025-08-07,2434,31,5279.23,422.34,Desktop,CA
223,PTR003,6,2025-03-08,3701,216,40757.36,4075.74,Mobile,US
224,PTR013,1,2025-05-29,2750,139,30110.76,6022.15,Tablet,US
225,PTR002,3,2025-10-26,1635,122,5993.83,599.38,Tablet,US
226,PTR004,2,2026-06-18,858,59,4792.45,958.49,Desktop,UK
227,PTR001,4,2025-02-02,3609,153,14098.80,1691.86,Tablet,CA
228,PTR016,1,2025-04-01,3390,82,5191.09,259.55,Tablet,UK
229,PTR007,2,2026-03-30,3738,285,38651.41,7730.28,Desktop,AU
230,PTR018,1,2025-03-21,1923,142,13205.48,660.27,Mobile,DE
231,PTR010,5,2026-05-11,1484,61,8340.55,667.24,Desktop,CA
232,PTR012,4,2025-01-25,698,80,8452.25,676.18,Mobile,AU
233,PTR017,3,2025-07-15,5038,0,0.00,0.00,Desktop,UK
234,PTR020,3,2025-11-08,2308,280,25055.86,1252.79,Desktop,US
235,PTR016,3,2025-02-18,3861,205,32337.36,3880.48,Mobile,DE
236,PTR020,3,2026-04-17,1227,18,956.92,890.69,Mobile,AU
237,PTR002,4,2025-11-17,271,5,131.16,19.67,Mobile,UK
239,PTR010,3,2025-06-18,1435,93,16339.24,3267.85,Mobile,DE
240,PTR001,4,2025-03-15,69,8,1718.96,137.52,Desktop,DE
241,PTR014,4,2025-12-19,7181,1,188.77,18.88,Mobile,US
242,PTR014,1,2025-09-20,395,8,892.33,89.23,Mobile,US
243,PTR011,4,2025-03-24,234,12,626.75,62.68,Mobile,US
244,PTR013,6,2025-04-01,1682,45,4938.06,740.71,Mobile,CA
245,PTR018,5,2025-04-20,872,65,8326.29,1665.26,Desktop,AU
246,PTR002,6,2025-04-26,2811,309,14754.97,737.75,Desktop,US
247,PTR004,4,2025-08-31,6219,0,0.00,0.00,Desktop,CA
248,PTR018,3,2026-03-13,954,51,7637.15,916.46,Unknown,AU
249,PTR001,1,2025-02-16,3433,368,63246.24,12649.25,Desktop,UK
250,PTR007,5,2025-03-19,2833,124,9526.23,1905.25,Tablet,UK
251,PTR017,6,2025-05-07,3477,289,33662.79,6732.56,Desktop,US
252,PTR004,2,2025-12-28,3394,238,43181.12,2159.06,Mobile,Unknown
253,PTR003,5,2026-05-14,2430,66,7013.78,701.38,Tablet,UK
254,PTR009,2,2025-02-24,2623,172,24042.87,4808.57,Desktop,US
255,PTR002,5,2025-05-22,2655,122,17381.39,3476.28,Mobile,US
256,PTR005,6,2025-11-05,3353,274,32152.92,3215.29,Mobile,UK
257,PTR002,1,2025-11-12,2995,199,7780.61,622.45,Tablet,Unknown
258,PTR004,3,2025-05-28,3260,267,21408.08,2568.97,Mobile,AU
259,PTR015,3,2025-10-29,2860,215,17491.23,2098.95,Mobile,CA
260,PTR007,3,2025-03-01,3018,155,20887.24,3133.09,Mobile,CA
261,PTR019,4,2025-09-10,2440,53,6936.19,693.62,Tablet,AU
262,PTR017,3,2025-06-17,3370,374,7596.51,1139.48,Mobile,US
263,PTR008,5,2025-03-27,589,57,964.79,48.24,Tablet,US
264,PTR014,1,2025-10-13,1087,60,4965.92,993.18,Mobile,US
265,PTR018,2,2025-01-31,574,19,322.71,64.54,Mobile,US
266,PTR001,6,2026-06-14,2111,67,13342.90,1067.43,Mobile,UK
267,PTR001,1,2026-04-28,211,3,155.07,23.26,Tablet,US
268,PTR003,4,2025-08-16,332,42,4079.55,815.91,Unknown,US
269,PTR010,2,2025-12-19,1086,76,1723.72,172.37,Mobile,DE
270,PTR012,4,2025-02-25,1087,16,1547.88,154.79,Desktop,AU
271,PTR010,3,2025-12-02,2270,90,15824.16,3164.83,Desktop,US
272,PTR007,6,2025-09-27,3635,455,86070.25,17214.05,Tablet,DE
273,PTR001,1,2026-03-14,2762,62,6427.69,771.32,Desktop,US
274,PTR015,1,2025-09-24,760,77,16593.09,1327.45,Unknown,CA
275,PTR020,5,2026-02-12,333,46,4273.49,427.35,Tablet,US
276,PTR010,4,2025-12-06,205,16,1172.77,234.55,Desktop,CA
277,PTR010,6,2026-03-07,1527,87,9697.02,1939.40,Desktop,UK
278,PTR008,3,2025-12-21,3670,47,9919.45,991.95,Tablet,US
279,PTR007,1,2025-01-06,3050,138,2273.52,454.70,Desktop,US
280,PTR014,6,2026-03-30,360,5,823.26,82.33,Mobile,US
281,PTR014,4,2026-05-19,1930,105,20037.70,2003.77,Desktop,US
282,PTR013,2,2026-04-19,387,24,4385.99,219.30,Desktop,UK
283,PTR005,1,2026-06-24,2656,104,20901.67,2508.20,Tablet,CA
284,PTR003,5,2025-03-08,1933,129,15872.91,2380.94,Tablet,AU
285,PTR008,2,2025-08-25,111,9,1061.79,159.27,Mobile,US
286,PTR016,6,2025-04-13,2770,234,35524.58,2841.97,Desktop,US
287,PTR012,4,2025-03-15,3534,196,6068.52,606.85,Tablet,DE
288,PTR011,6,2026-04-08,3582,164,30255.96,3025.60,Desktop,DE
289,PTR004,6,2025-07-15,1811,57,5650.26,847.54,Tablet,US
290,PTR005,3,2025-04-16,1053,101,15087.31,1206.98,Desktop,US
291,PTR006,6,2025-02-01,3505,242,26551.97,2124.16,Mobile,US
292,PTR006,3,2025-07-08,2531,54,9662.24,483.11,Tablet,US
293,PTR015,6,2026-01-07,2150,285,40035.34,3202.83,Mobile,DE
294,PTR006,5,2025-02-01,3481,178,5123.35,1024.67,Tablet,DE
295,PTR018,6,2026-03-06,1323,120,22119.53,3317.93,Mobile,US
296,PTR019,6,2026-06-19,3079,207,42831.88,3426.55,Mobile,US
297,PTR020,4,2025-05-20,1318,111,5707.14,684.86,Tablet,US
298,PTR008,5,2025-03-27,589,57,964.79,48.24,Tablet,US
299,PTR013,2,2025-06-02,3658,66,3113.23,373.59,Mobile,CA
300,PTR018,1,2026-01-02,3216,317,38586.60,5787.99,Mobile,DE
301,PTR012,4,2025-02-08,3595,382,52240.19,2612.01,Mobile,US
302,PTR009,6,2025-02-17,2808,325,7067.08,706.71,Tablet,AU
303,PTR006,1,2025-06-21,3316,28,4341.14,347.29,Tablet,CA
304,PTR009,5,2026-01-13,280,19,2230.85,111.54,Desktop,CA
305,PTR015,2,2025-11-15,2960,185,14270.09,2140.51,Desktop,AU
306,PTR007,1,2026-04-26,1799,86,7269.27,1090.39,Mobile,US
307,PTR005,4,2026-06-04,2656,130,27107.85,4066.18,Desktop,US
308,PTR005,2,2025-03-03,3251,321,23807.02,1190.35,Tablet,US
310,PTR006,3,2025-12-26,376,26,3480.07,348.01,Tablet,AU
311,PTR002,5,2025-05-12,1604,65,7867.72,944.13,Tablet,CA
312,PTR020,2,2026-06-04,1900,270,6320.61,948.09,Tablet,US
313,PTR020,4,2026-03-29,1419,123,6819.81,681.98,Desktop,US
314,PTR013,6,2026-06-11,2698,90,10915.21,1637.28,Mobile,US
315,PTR015,4,2026-04-18,3192,318,58023.14,8703.47,Mobile,US
316,PTR019,1,2025-05-19,1698,20,3976.13,318.09,Desktop,UK
317,PTR015,5,2026-03-10,3065,83,7762.53,621.00,Tablet,US
318,PTR019,1,2025-12-26,2504,45,2581.07,206.49,Tablet,US
320,PTR012,6,2025-04-01,3464,180,5602.08,560.21,Desktop,AU
321,PTR013,2,2025-12-06,3099,357,11094.73,2218.95,Mobile,US
322,PTR019,4,2025-07-19,2857,99,15440.30,772.01,Mobile,AU
323,PTR008,5,2026-01-19,824,69,5803.51,464.28,Mobile,UK
324,PTR019,5,2025-02-16,3535,114,2272.21,340.83,Mobile,US
325,PTR015,5,2025-11-29,3012,185,35514.85,7102.97,Tablet,US
326,PTR015,4,2025-05-08,327,37,7091.05,1063.66,Mobile,UK
327,PTR009,4,2026-01-26,3706,322,49487.46,9897.49,Mobile,AU
329,PTR015,6,2025-03-21,1175,76,2395.40,191.63,Tablet,CA
330,PTR007,1,2026-03-17,3642,164,16445.57,822.28,Tablet,US
331,PTR015,6,2025-05-15,3334,172,13524.41,2704.88,Desktop,US
332,PTR012,1,2025-02-12,1812,129,23886.22,1910.90,Desktop,US
333,PTR014,3,2026-06-03,1081,69,14860.77,743.04,Tablet,Unknown
334,PTR015,1,2025-12-25,3365,61,3330.09,333.01,Desktop,UK
335,PTR018,1,2026-01-26,806,78,13862.08,1663.45,Mobile,DE
336,PTR017,5,2025-07-23,1536,136,16826.26,841.31,Mobile,US
337,PTR012,6,2025-04-01,3464,180,5602.08,560.21,Desktop,AU
338,PTR016,3,2025-04-19,3940,408,18916.18,1513.29,Tablet,US
339,PTR010,2,2025-10-05,2863,63,11578.11,578.91,Desktop,US
340,PTR005,6,2025-10-14,868,81,12541.29,1254.13,Desktop,US
341,PTR005,3,2026-04-26,2476,63,8518.87,1703.77,Tablet,AU
342,PTR008,2,2026-03-03,2726,158,33250.75,4987.61,Desktop,US
343,PTR017,2,2026-06-24,1930,168,12585.58,1887.84,Mobile,UK
344,PTR011,5,2026-02-08,3851,297,57777.05,2888.85,Desktop,US
345,PTR020,3,2025-04-05,3849,298,41086.43,2054.32,Mobile,UK
346,PTR005,5,2025-08-22,2967,187,32935.34,3952.24,Desktop,US
347,PTR017,6,2025-02-11,293,3,364.48,18.22,Mobile,DE
348,PTR013,1,2025-12-03,2749,469,94762.31,4738.12,Tablet,Unknown
349,PTR008,2,2026-04-03,3893,117,9872.43,1480.86,Unknown,US
350,PTR018,1,2025-12-18,2976,288,13392.82,1071.43,Tablet,US
351,PTR018,1,2025-08-21,1814,65,1115.66,167.35,Unknown,CA
352,PTR005,1,2025-11-22,3228,320,47311.85,4731.19,Tablet,AU
353,PTR012,5,2025-01-29,2731,101,15616.48,1561.65,Mobile,CA
354,PTR002,2,2026-02-09,3052,47,9842.60,1968.52,Desktop,UK
355,PTR011,5,2025-08-06,1938,138,9206.52,1104.78,Mobile,US
356,PTR015,3,2025-03-11,2251,186,20741.14,2074.11,Mobile,CA
357,PTR019,6,2025-05-31,686,29,3998.18,599.73,Mobile,US
358,PTR003,6,2026-05-30,1192,30,5156.44,618.77,Desktop,US
359,PTR003,3,2025-11-26,612,27,3440.15,344.02,Desktop,US
360,PTR015,3,2026-06-09,2355,193,34476.70,3447.67,Tablet,US
361,PTR013,4,2026-03-25,1723,183,16952.40,2542.86,Tablet,US
362,PTR011,5,2025-05-07,456,25,1852.39,370.48,Desktop,US
363,PTR008,3,2025-03-14,3815,447,82952.44,9954.29,Desktop,US
365,PTR009,3,2025-07-02,3947,61,5237.82,523.78,Desktop,UK
366,PTR015,1,2026-05-26,6221,1,213.17,17.05,Mobile,US
367,PTR016,5,2025-06-20,649,14,2284.37,182.75,Mobile,US
368,PTR010,6,2025-03-28,553,12,1098.33,87.87,Tablet,DE
369,PTR018,2,2025-08-18,2655,123,21987.29,2198.73,Desktop,US
370,PTR018,1,2025-06-20,1551,35,5401.33,270.07,Mobile,US
371,PTR017,6,2025-03-18,2968,82,17849.47,1784.95,Mobile,US
372,PTR016,3,2026-06-27,3145,73,4804.18,384.33,Mobile,US
373,PTR020,2,2026-05-07,4399,0,0.00,0.00,Desktop,US
374,PTR012,6,2026-06-09,2010,81,11183.66,559.18,Tablet,US
375,PTR017,2,2025-07-13,684,20,4267.50,853.50,Tablet,US
376,PTR017,1,2026-01-11,1292,29,4808.59,577.03,Desktop,UK
377,PTR012,2,2026-02-27,1768,59,7484.35,898.12,Desktop,US
378,PTR003,6,2025-09-15,3989,227,43784.32,5254.12,Tablet,US
379,PTR013,2,2025-08-25,2087,35,6744.09,1011.61,Tablet,AU
380,PTR004,3,2026-06-03,1494,63,9445.13,755.61,Tablet,US
381,PTR006,6,2025-09-17,1917,33,7227.85,867.34,Desktop,US
382,PTR019,2,2025-04-15,770,14,2134.91,256.19,Tablet,US
